commodity,state,market,arrival_date,modal_price,price,min_price,max_price,date,price_7day_avg,price_30day_avg,price_change_pct,month,quarter,day_of_year,week_of_year,volatility,price_vs_7day_avg,price_vs_30day_avg,trend
Cotton,Karnataka,Mandi,2025-05-29,4502.2,4502.2,4051.98,4952.42,2025-05-29,4502.2,4502.2,0.0,5,2,149,22,0.0,0.0,0.0,Stable
Cotton,Maharashtra,Agricultural Market,2025-05-30,5841.8,5841.8,5257.62,6425.98,2025-05-30,5172.0,5172.0,29.754342321531713,5,2,150,22,947.2402440774994,12.95050270688322,12.95050270688322,Rising
Cotton,Punjab,Wholesale Market,2025-05-31,4747.68,4747.68,4272.91,5222.45,2025-05-31,5030.56,5030.56,-18.729158820911362,5,2,151,22,713.1955277481767,-5.623230813269299,-5.623230813269299,Falling
Cotton,Karnataka,APMC Market,2025-06-01,5383.91,5383.91,4845.52,5922.3,2025-06-01,5118.8975,5118.8975,13.400861052134939,6,2,152,22,608.5331786284679,5.177140194739196,5.177140194739196,Rising
Cotton,Haryana,Agricultural Market,2025-06-02,3987.76,3987.76,3588.98,4386.54,2025-06-02,4892.67,4892.67,-25.931897078517274,6,2,153,23,730.4990629015208,-18.495218357256874,-18.495218357256874,Falling
Cotton,Karnataka,APMC Market,2025-06-03,4487.53,4487.53,4038.78,4936.28,2025-06-03,4825.1466666666665,4825.1466666666665,12.53259975525105,6,2,154,23,673.9877654577023,-6.997023924661361,-6.997023924661361,Rising
Cotton,Karnataka,APMC Market,2025-06-06,5236.27,5236.27,4712.65,5759.9,2025-06-06,4883.878571428571,4883.878571428571,16.68490238505371,6,2,157,23,634.5830492911225,7.215401108311174,7.215401108311174,Rising
Cotton,Maharashtra,Wholesale Market,2025-06-10,4673.01,4673.01,4205.71,5140.31,2025-06-10,4908.28,4857.52,-10.756893743065199,6,2,161,24,592.2211506330578,-4.793328823946465,-3.79844035639586,Falling
Cotton,Tamil Nadu,Mandi,2025-06-11,4728.98,4728.98,4256.09,5201.88,2025-06-11,4749.305714285714,4843.237777777777,1.197729086819832,6,2,162,24,555.6266657517839,-0.4279723291885746,-2.3591197256931444,Stable
Cotton,Tamil Nadu,Mandi,2025-06-11,5518.95,5518.95,4967.06,6070.85,2025-06-11,4859.487142857143,4910.808999999999,16.70487081780849,6,2,162,24,565.7537980517675,13.570626647550391,12.38372333356888,Rising
