date,commodity,state,market,modal_price,price_7day_avg,price_30day_avg,price_change_pct,volatility
2025-05-29,Cotton,Karnataka,Mandi,4502.2,4502.2,4502.2,0.0,0.0
2025-05-30,Cotton,Maharashtra,Agricultural Market,5841.8,5172.0,5172.0,29.754342321531716,947.2402440774994
2025-05-31,Cotton,Punjab,Wholesale Market,4747.68,5030.56,5030.56,-18.72915882091136,713.1955277481767
2025-06-01,Cotton,Karnataka,APMC Market,5383.91,5118.8975,5118.8975,13.40086105213494,608.5331786284679
2025-06-02,Cotton,Haryana,Agricultural Market,3987.76,4892.67,4892.67,-25.931897078517277,730.4990629015208
2025-06-03,Cotton,Karnataka,APMC Market,4487.53,4825.1466666666665,4825.1466666666665,12.53259975525105,673.9877654577023
2025-06-06,Cotton,Karnataka,APMC Market,5236.27,4883.878571428571,4883.878571428571,16.68490238505371,634.5830492911225
2025-06-10,Cotton,Maharashtra,Wholesale Market,4673.01,4908.28,4857.52,-10.7568937430652,592.2211506330578
2025-06-11,Cotton,Tamil Nadu,Mandi,4728.98,4749.305714285714,4843.237777777777,1.197729086819832,555.6266657517839
2025-06-11,Cotton,Tamil Nadu,Mandi,5518.95,4859.487142857143,4910.808999999999,16.70487081780849,565.7537980517675
2025-06-12,Cotton,Punjab,Mandi,4748.38,4768.697142857142,4896.042727272728,-13.962257313438242,538.9509206985532
2025-06-13,Cotton,Tamil Nadu,Mandi,3688.02,4725.877142857143,4795.3741666666665,-22.33098446206917,621.0248091729777
2025-06-15,Cotton,Karnataka,Mandi,4307.43,4700.148571428572,4757.84,16.795190915450586,609.7926479413584
2025-06-17,Cotton,Karnataka,Agricultural Market,5764.93,4775.671428571428,4829.775000000001,33.836881852984256,644.739072490689
2025-06-18,Cotton,Haryana,APMC Market,4548.61,4757.900000000001,4811.030666666668,-21.098608309207577,625.5131400637249
2025-06-20,Cotton,Tamil Nadu,Mandi,4413.91,4712.89,4786.210625,-2.961344234832175,612.40411003921
2025-06-21,Cotton,Maharashtra,Agricultural Market,5680.49,4735.967142857143,4838.815294117647,28.69519315074389,631.3811368650244
2025-06-22,Cotton,Uttar Pradesh,Wholesale Market,5108.69,4787.4400000000005,4853.808333333333,-10.066033035882471,615.8237121053204
2025-06-23,Cotton,Punjab,APMC Market,3820.87,4806.418571428571,4799.443157894737,-25.208419379527825,643.6815155118998
2025-06-25,Cotton,Maharashtra,APMC Market,5231.29,4938.398571428571,4821.0355,36.91358250869568,633.9115491884288
2025-06-28,Cotton,Karnataka,Agricultural Market,4947.35,4821.601428571428,4827.050476190476,-5.427724328033801,618.4750910867486
2025-06-29,Cotton,Punjab,Mandi,4369.65,4796.035714285715,4806.259545454545,-11.676958371653525,611.39708007058
2025-06-30,Cotton,Uttar Pradesh,Agricultural Market,3511.45,4667.112857142857,4749.96347826087,-19.640016934994787,655.5210714913519
2025-06-30,Cotton,Tamil Nadu,Agricultural Market,4304.23,4470.504285714285,4731.39125,22.576998106195447,647.536244527386
2025-06-30,Cotton,Karnataka,APMC Market,5727.75,4558.941428571428,4771.2456,33.07258208785313,664.4858554995735
2025-07-02,Cotton,Karnataka,Mandi,5807.79,4842.787142857143,4811.112692307692,1.397407358910563,682.0585058105072
2025-07-05,Cotton,Haryana,Agricultural Market,4750.76,4774.139999999999,4808.877407407407,-18.200210407056726,668.9142372220857
2025-07-08,Cotton,Punjab,APMC Market,4457.11,4704.105714285714,4796.314285714286,-6.181116284552379,659.7677393762848
2025-07-08,Cotton,Haryana,APMC Market,4144.92,4672.001428571429,4773.852413793104,-7.004314454882188,659.0742064314545
2025-07-09,Cotton,Uttar Pradesh,APMC Market,3624.25,4688.115714285714,4735.532333333334,-12.561641720467463,680.7738882593452
2025-07-09,Cotton,Maharashtra,Wholesale Market,4482.83,4713.629999999999,4734.886666666666,23.689866869007385,681.0119626795436
2025-07-11,Cotton,Haryana,Mandi,3783.93,4435.941428571428,4666.291,-15.590597903556455,669.2106002177443
2025-07-12,Cotton,Punjab,Agricultural Market,4930.6,4310.628571428571,4672.388333333333,30.303678979262315,670.8091292794941
2025-07-14,Cotton,Punjab,Mandi,4383.6,4258.177142857143,4639.044666666667,-11.0939845049284,658.9789219052478
2025-07-15,Cotton,Haryana,APMC Market,5841.77,4455.9857142857145,4700.845,33.26421206314445,682.3170827345448
2025-07-17,Cotton,Uttar Pradesh,APMC Market,4326.94,4481.988571428572,4695.491999999999,-25.93101063547521,684.6741853354981
2025-07-19,Cotton,Uttar Pradesh,Wholesale Market,5688.14,4776.83,4710.5543333333335,31.458721405889637,701.738885811443
2025-07-20,Cotton,Uttar Pradesh,Agricultural Market,3699.68,4664.951428571429,4678.11,-34.95800033051226,725.6284968979273
2025-07-22,Cotton,Haryana,APMC Market,5827.46,4956.884285714286,4714.725999999999,57.51254162522166,755.3889263547029
2025-07-23,Cotton,Tamil Nadu,Agricultural Market,5763.96,5075.935714285714,4722.893,-1.0896685691536234,765.6386835710074
2025-07-25,Cotton,Maharashtra,Wholesale Market,5035.6,5169.078571428572,4732.467000000001,-12.636451328600472,767.7612204241901
2025-07-26,Cotton,Maharashtra,APMC Market,3703.63,4863.629999999999,4732.9873333333335,-26.451068393041545,767.0339058815812
2025-07-26,Cotton,Karnataka,Agricultural Market,4704.96,4917.632857142858,4746.238333333333,27.036448025315707,762.8510088142053
2025-07-28,Cotton,Karnataka,Mandi,4943.14,4811.204285714286,4718.845333333333,5.062317214173984,739.4041041771563
2025-07-29,Cotton,Karnataka,Mandi,5611.36,5084.301428571429,4754.270333333334,13.51812815336,756.2336094934365
2025-07-29,Cotton,Uttar Pradesh,APMC Market,5800.45,5080.442857142857,4800.488333333333,3.369771321034465,776.8049620836726
2025-07-31,Cotton,Uttar Pradesh,Wholesale Market,3950.83,4821.424285714286,4742.8330000000005,-31.887525967812845,773.419294557705
2025-08-01,Cotton,Punjab,Mandi,5083.72,4828.2985714285705,4742.000666666668,28.674734169782056,773.0253278980929
2025-08-02,Cotton,Uttar Pradesh,Mandi,4092.09,4883.792857142857,4751.041333333333,-19.505991675387317,763.4072156332553
2025-08-03,Cotton,Haryana,Agricultural Market,3937.81,4774.2,4707.925333333334,-3.770200557661252,771.828627252473
2025-08-05,Cotton,Maharashtra,Wholesale Market,5368.78,4835.005714285714,4721.973,36.33923424441503,780.1270470544283
2025-08-06,Cotton,Uttar Pradesh,APMC Market,4748.54,4711.745714285715,4734.602666666668,-11.552717749656338,777.2883264712689
